epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.68,1.50955,4.78144,0.00658,0.0128,0.311,0.02588,0.01586,1.29597,5.00298,0.00704,0.00024543,0.00024543,0.00024543
2,198.666,1.50954,4.33625,0.00665,0.00851,0.46562,0.06179,0.03419,1.30832,4.61651,0.00726,0.000466953,0.000466953,0.000466953
3,291.81,1.58001,3.63669,0.00701,0.7687,0.09503,0.15071,0.08582,1.41858,3.90055,0.00773,0.00065488,0.00065488,0.00065488
4,385.59,1.56999,3.29458,0.00679,0.50044,0.21842,0.19843,0.10644,1.44328,3.57844,0.00788,0.000729018,0.000729018,0.000729018
5,479.6,1.60481,3.12973,0.0071,0.33322,0.34119,0.26623,0.15364,1.45619,3.4467,0.0081,0.000669024,0.000669024,0.000669024
6,569.397,1.48079,3.43699,0.00766,0.45706,0.34323,0.33423,0.19,1.52658,3.20477,0.00847,0.00060903,0.00060903,0.00060903
7,659.331,1.45908,3.14575,0.00727,0.47341,0.39946,0.39965,0.23727,1.48868,2.79583,0.00828,0.000549036,0.000549036,0.000549036
8,749.464,1.4644,2.99718,0.00724,0.47518,0.4333,0.41331,0.2474,1.46532,2.69303,0.0081,0.000489042,0.000489042,0.000489042
9,842.454,1.48431,2.81937,0.00734,0.51007,0.46363,0.45597,0.27233,1.48273,2.53521,0.00839,0.000429048,0.000429048,0.000429048
10,934.42,1.45015,2.62785,0.00711,0.56408,0.48146,0.48434,0.28552,1.49567,2.46911,0.00839,0.000369054,0.000369054,0.000369054
11,1026.68,1.44191,2.53741,0.007,0.52703,0.5006,0.48534,0.28383,1.49565,2.40931,0.00826,0.00030906,0.00030906,0.00030906
12,1117.73,1.44901,2.45752,0.00697,0.53644,0.49844,0.49019,0.29422,1.47384,2.36884,0.00802,0.000249066,0.000249066,0.000249066
13,1207.18,1.41547,2.44483,0.00693,0.53524,0.5162,0.50047,0.29616,1.46817,2.34165,0.00803,0.000189072,0.000189072,0.000189072
14,1297.38,1.42592,2.34052,0.00675,0.55138,0.52747,0.50358,0.30611,1.44965,2.3154,0.0079,0.000129078,0.000129078,0.000129078
15,1389.33,1.40604,2.37464,0.0067,0.56261,0.52145,0.50599,0.3067,1.45877,2.30379,0.00795,6.9084e-05,6.9084e-05,6.9084e-05
